Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-9.7,3.1,7.8,27994,681,542,41,7.6,1.1,107|288|596|1501|3800|3909|4147|4781|4897|4983|5168|5800|6049|6092|6586|7074|7224|8239|8997|9201|9369|9699|9723|10752|11141|22854|22891|22999|23026|23426|26052|51062|51265|51760|57408|57624|57643|84570|84612|84623|494470,ADCY1|ANK3|BCL2|CTNND2|KIF5C|LAMA3|MATN2|NFIB|NRCAM|OPHN1|ENPP2|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|KALRN|DCLK1|NRXN3|RIMS2|SEMA3E|CHL1|IL1RAPL1|NTNG1|ZNF365|RIMS1|MYO16|GRIP1|DNM3|ATL1|CDKL3|SYT17|LRTM1|NYAP2|ZSWIM5|25A1|PARD6B|KIRREL3|RNF165,-7.6,1
GO Biological Processes,19,GO:0048858,cell projection morphogenesis,19_GO:0032502 developmental process,-9.7,3.1,7.8,27994,685,542,41,7.6,1.1,107|288|596|1501|3800|3909|4147|4781|4897|4983|5168|5800|6049|6092|6586|7074|7224|8239|8997|9201|9369|9699|9723|10752|11141|22854|22891|22999|23026|23426|26052|51062|51265|51760|57408|57624|57643|84570|84612|84623|494470,ADCY1|ANK3|BCL2|CTNND2|KIF5C|LAMA3|MATN2|NFIB|NRCAM|OPHN1|ENPP2|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|KALRN|DCLK1|NRXN3|RIMS2|SEMA3E|CHL1|IL1RAPL1|NTNG1|ZNF365|RIMS1|MYO16|GRIP1|DNM3|ATL1|CDKL3|SYT17|LRTM1|NYAP2|ZSWIM5|25A1|PARD6B|KIRREL3|RNF165,-7.5,1
GO Biological Processes,19,GO:0048812,neuron projection morphogenesis,19_GO:0032502 developmental process,-9.5,3.1,7.7,27994,667,542,40,7.4,1.1,107|288|596|1501|3800|3909|4147|4781|4897|4983|5800|6049|6092|6586|7074|7224|8239|8997|9201|9369|9699|9723|10752|11141|22854|22891|22999|23026|23426|26052|51062|51265|51760|57408|57624|57643|84570|84612|84623|494470,ADCY1|ANK3|BCL2|CTNND2|KIF5C|LAMA3|MATN2|NFIB|NRCAM|OPHN1|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|KALRN|DCLK1|NRXN3|RIMS2|SEMA3E|CHL1|IL1RAPL1|NTNG1|ZNF365|RIMS1|MYO16|GRIP1|DNM3|ATL1|CDKL3|SYT17|LRTM1|NYAP2|ZSWIM5|25A1|PARD6B|KIRREL3|RNF165,-7.4,1
GO Biological Processes,19,GO:0032990,cell part morphogenesis,19_GO:0032502 developmental process,-9.3,3,7.6,27994,705,542,41,7.6,1.1,107|288|596|1501|3800|3909|4147|4781|4897|4983|5168|5800|6049|6092|6586|7074|7224|8239|8997|9201|9369|9699|9723|10752|11141|22854|22891|22999|23026|23426|26052|51062|51265|51760|57408|57624|57643|84570|84612|84623|494470,ADCY1|ANK3|BCL2|CTNND2|KIF5C|LAMA3|MATN2|NFIB|NRCAM|OPHN1|ENPP2|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|KALRN|DCLK1|NRXN3|RIMS2|SEMA3E|CHL1|IL1RAPL1|NTNG1|ZNF365|RIMS1|MYO16|GRIP1|DNM3|ATL1|CDKL3|SYT17|LRTM1|NYAP2|ZSWIM5|25A1|PARD6B|KIRREL3|RNF165,-7.2,1
GO Biological Processes,19,GO:0000904,cell morphogenesis involved in differentiation,19_GO:0032502 developmental process,-8.5,2.8,7.1,27994,753,542,41,7.6,1.1,107|288|367|596|1501|3800|3909|4147|4352|4781|4897|4983|5800|6049|6092|6586|7074|7224|8239|8516|8997|9201|9369|9723|9750|10752|11141|22854|22891|26052|51057|51062|51176|51265|51266|57408|57643|64102|84570|84612|494470,ADCY1|ANK3|AR|BCL2|CTNND2|KIF5C|LAMA3|MATN2|MPL|NFIB|NRCAM|OPHN1|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|ITGA8|KALRN|DCLK1|NRXN3|SEMA3E|RIPOR2|CHL1|IL1RAPL1|NTNG1|ZNF365|DNM3|WDPCP|ATL1|LEF1|CDKL3|CLEC1B|LRTM1|ZSWIM5|TNMD|25A1|PARD6B|RNF165,-6.5,1
GO Biological Processes,19,GO:0043269,regulation of ion transport,19_GO:0051179 localization,-8.2,2.8,7,27994,708,542,39,7.2,1.1,18|40|287|288|596|775|777|783|785|859|1272|1536|1814|2259|2824|3751|3763|3778|3784|4129|4988|5144|6323|6336|8564|8573|9472|10396|27035|51703|51760|54207|55799|59272|80333|117532|150094|151651|375611,ABAT|ASIC2|ANK2|ANK3|BCL2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|CNTN1|CYBB|DRD3|FGF14|GPM6B|KCND2|KCNJ6|KCNMA1|KCNQ1|MAOB|OPRM1|PDE4D|SCN1A|SCN10A|KMO|CASK|AKAP6|ATP8A1|NOX1|ACSL5|SYT17|KCNK10|CACNA2D3|ACE2|KCNIP4|TMC2|SIK1|EFHB|SLC26A5,-6.3,1
Reactome Gene Sets,6,R-HSA-112316,Neuronal System,,-8,3.5,7.2,27994,410,542,28,5.2,0.95,18|107|777|783|785|2557|2792|2897|3751|3763|3776|3778|3784|5575|7102|8573|9229|9369|9568|11141|22999|23426|26280|54207|55799|60482|79861|200959,ABAT|ADCY1|CACNA1E|CACNB2|CACNB4|GABRA4|GNGT1|GRIK1|KCND2|KCNJ6|KCNK2|KCNMA1|KCNQ1|PRKAR1B|TSPAN7|CASK|DLGAP1|NRXN3|GABBR2|IL1RAPL1|RIMS1|GRIP1|IL1RAPL2|KCNK10|CACNA2D3|SLC5A7|TUBAL3|GABRR3,-6.1,1
GO Biological Processes,19,GO:0048667,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-8,3,7,27994,604,542,35,6.5,1.1,107|288|596|1501|3800|3909|4147|4781|4897|4983|5800|6049|6092|6586|7074|7224|8239|8997|9201|9369|9723|9750|10752|11141|22854|22891|26052|51057|51062|51265|57408|57643|84570|84612|494470,ADCY1|ANK3|BCL2|CTNND2|KIF5C|LAMA3|MATN2|NFIB|NRCAM|OPHN1|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|KALRN|DCLK1|NRXN3|SEMA3E|RIPOR2|CHL1|IL1RAPL1|NTNG1|ZNF365|DNM3|WDPCP|ATL1|CDKL3|LRTM1|ZSWIM5|25A1|PARD6B|RNF165,-6.1,1
GO Biological Processes,19,GO:0042391,regulation of membrane potential,19_GO:0065007 biological regulation,-7.8,3.4,7.1,27994,443,542,29,5.4,0.97,18|40|287|288|596|775|777|783|785|859|2259|2557|2897|3751|3776|3778|3784|4897|4988|6323|6336|7224|9472|9699|22999|29119|54207|200959|375611,ABAT|ASIC2|ANK2|ANK3|BCL2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|FGF14|GABRA4|GRIK1|KCND2|KCNK2|KCNMA1|KCNQ1|NRCAM|OPRM1|SCN1A|SCN10A|TRPC5|AKAP6|RIMS2|RIMS1|CTNNA3|KCNK10|GABRR3|SLC26A5,-6,1
GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,19_GO:0051179 localization,-7.3,2.6,6.4,27994,767,542,39,7.2,1.1,40|287|288|775|777|783|785|859|1184|1814|2259|3358|3708|3751|3763|3776|3778|3784|4988|5144|6323|6336|6549|6557|7224|9472|25769|54207|54499|55799|57282|79400|80333|117532|140803|168507|169026|221074|283652,ASIC2|ANK2|ANK3|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|CLCN5|DRD3|FGF14|HTR2C|ITPR1|KCND2|KCNJ6|KCNK2|KCNMA1|KCNQ1|OPRM1|PDE4D|SCN1A|SCN10A|SLC9A2|SLC12A1|TRPC5|AKAP6|SLC24A2|KCNK10|TMCO1|CACNA2D3|SLC4A10|NOX5|KCNIP4|TMC2|TRPM6|PKD1L1|SLC30A8|SLC39A12|SLC24A5,-5.6,1
