Category,CategoryID,GO,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,-10,2.7,7.7,27994,767,677,51,7.5,1,40|480|486|773|777|1193|2258|2259|2829|2903|3249|3784|3786|3790|4842|5142|6261|6263|6331|6334|6376|7223|8291|8671|9167|9498|10242|10345|11280|23072|27039|27133|30820|55532|55799|57282|57520|79026|80036|80333|90134|93589|169026|219931|221074|255231|285335|342372|378807|387129|389015,ASIC2|ATP1A4|FXYD2|CACNA1A|CACNA1E|CLIC2|FGF13|FGF14|XCR1|GRIN2A|HPN|KCNQ1|KCNQ3|KCNS3|NOS1|PDE4B|RYR1|RYR3|SCN5A|SCN8A|CX3CL1|TRPC4|DYSF|SLC4A4|COX7A2L|SLC4A8|KCNMB2|TRDN|SCN11A|HECW1|PKD2L2|KCNH5|KCNIP1|SLC30A10|CACNA2D3|SLC4A10|HECW2|AHNAK|TRPM3|KCNIP4|KCNH7|CACNA2D4|SLC30A8|TPCN2|SLC39A12|MN2|SLC9C1|PKD1L3|CATSPER4|NPSR1|SLC9A4,-8.5,1
Reactome Gene Sets,6,R-HSA-112316,Neuronal System,-9.9,3.5,8.1,27994,410,677,35,5.2,0.85,18|163|320|773|777|1740|2066|2556|2560|2570|2893|2903|3084|3784|3786|3790|5789|6196|7102|8825|9229|9369|9568|10242|11141|22839|22843|26280|26960|27133|55799|80852|83988|90134|285242,ABAT|AP2B1|APBA1|CACNA1A|CACNA1E|DLG2|ERBB4|GABRA3|GABRB1|GABRR2|GRIA4|GRIN2A|NRG1|KCNQ1|KCNQ3|KCNS3|PTPRD|RPS6KA2|TSPAN7|LIN7A|DLGAP1|NRXN3|GABBR2|KCNMB2|IL1RAPL1|DLGAP4|PPM1E|IL1RAPL2|NBEA|KCNH5|CACNA2D3|GRIP2|NCALD|KCNH7|HTR3E,-8.3,1
GO Biological Processes,19,GO:0043269,regulation of ion transport,-9.8,2.8,7.7,27994,708,677,48,7.1,0.99,18|40|486|773|777|846|1071|1193|1393|1740|2258|2259|2893|2903|3784|3786|3790|4842|5142|5593|5649|6331|6334|6376|6424|7009|7018|8291|10345|11280|23072|27133|30820|51761|55532|55799|57520|57554|57731|79026|80333|90134|93589|146395|149111|219931|378807|387129,ABAT|ASIC2|FXYD2|CACNA1A|CACNA1E|CASR|CETP|CLIC2|CRHBP|DLG2|FGF13|FGF14|GRIA4|GRIN2A|KCNQ1|KCNQ3|KCNS3|NOS1|PDE4B|PRKG2|RELN|SCN5A|SCN8A|CX3CL1|SFRP4|TMBIM6|TF|DYSF|TRDN|SCN11A|HECW1|KCNH5|KCNIP1|ATP8A2|SLC30A10|CACNA2D3|HECW2|LRRC7|SPTBN4|AHNAK|KCNIP4|KCNH7|CACNA2D4|GSG1L|CNIH3|TPCN2|CATSPER4|NPSR1,-8.2,1
GO Biological Processes,19,GO:0099536,synaptic signaling,-9.6,2.7,7.5,27994,741,677,49,7.2,1,18|29|40|320|773|777|952|1129|1393|1740|1959|1960|2259|2556|2560|2570|2895|2903|3084|3786|3798|4842|5649|5789|6376|8825|9162|9229|9498|9568|9699|10814|10858|11141|22839|23025|23316|26059|55288|57282|57537|66000|79772|84896|85445|93664|149111|152404|285242,ABAT|ABR|ASIC2|APBA1|CACNA1A|CACNA1E|CD38|CHRM2|CRHBP|DLG2|EGR2|EGR3|FGF14|GABRA3|GABRB1|GABRR2|GRID2|GRIN2A|NRG1|KCNQ3|KIF5A|NOS1|RELN|PTPRD|CX3CL1|LIN7A|DGKI|DLGAP1|SLC4A8|GABBR2|RIMS2|CPLX2|CYP46A1|IL1RAPL1|DLGAP4|UNC13A|CUX2|ERC2|RHOT1|SLC4A10|SORCS2|TMEM108|MCTP1|ATAD1|CNTNAP4|CADPS2|CNIH3|IGSF11|HTR3E,-8.1,1
GO Biological Processes,19,GO:0034765,regulation of ion transmembrane transport,-9.5,3.2,7.8,27994,489,677,38,5.6,0.88,40|486|773|777|1193|1393|1740|2258|2259|2893|2903|3784|3786|3790|4842|5142|5649|6331|6334|6376|8291|10345|11280|23072|27133|30820|55799|57520|57554|79026|80333|90134|93589|146395|149111|219931|378807|387129,ASIC2|FXYD2|CACNA1A|CACNA1E|CLIC2|CRHBP|DLG2|FGF13|FGF14|GRIA4|GRIN2A|KCNQ1|KCNQ3|KCNS3|NOS1|PDE4B|RELN|SCN5A|SCN8A|CX3CL1|DYSF|TRDN|SCN11A|HECW1|KCNH5|KCNIP1|CACNA2D3|HECW2|LRRC7|AHNAK|KCNIP4|KCNH7|CACNA2D4|GSG1L|CNIH3|TPCN2|CATSPER4|NPSR1,-8,1
GO Biological Processes,19,GO:0099537,trans-synaptic signaling,-9.3,2.7,7.4,27994,732,677,48,7.1,0.99,18|29|40|320|773|777|952|1129|1393|1740|1959|1960|2259|2556|2560|2570|2895|2903|3786|3798|4842|5649|5789|6376|8825|9162|9229|9498|9568|9699|10814|10858|11141|22839|23025|23316|26059|55288|57282|57537|66000|79772|84896|85445|93664|149111|152404|285242,ABAT|ABR|ASIC2|APBA1|CACNA1A|CACNA1E|CD38|CHRM2|CRHBP|DLG2|EGR2|EGR3|FGF14|GABRA3|GABRB1|GABRR2|GRID2|GRIN2A|KCNQ3|KIF5A|NOS1|RELN|PTPRD|CX3CL1|LIN7A|DGKI|DLGAP1|SLC4A8|GABBR2|RIMS2|CPLX2|CYP46A1|IL1RAPL1|DLGAP4|UNC13A|CUX2|ERC2|RHOT1|SLC4A10|SORCS2|TMEM108|MCTP1|ATAD1|CNTNAP4|CADPS2|CNIH3|IGSF11|HTR3E,-7.8,1
Reactome Gene Sets,6,R-HSA-397014,Muscle contraction,-8.8,4.6,8.2,27994,207,677,23,3.4,0.7,72|480|486|1193|2258|2259|3784|4604|4629|4703|4842|6261|6263|6331|6334|8291|10345|10699|11280|30820|55799|80333|93589,ACTG2|ATP1A4|FXYD2|CLIC2|FGF13|FGF14|KCNQ1|MYBPC1|MYH11|NEB|NOS1|RYR1|RYR3|SCN5A|SCN8A|DYSF|TRDN|CORIN|SCN11A|KCNIP1|CACNA2D3|KCNIP4|CACNA2D4,-7.4,1
GO Biological Processes,19,GO:0042391,regulation of membrane potential,-8.4,3.2,7.3,27994,443,677,34,5,0.84,18|40|480|773|777|2258|2259|2556|2560|2570|2895|2903|3784|3786|5649|6331|6334|8671|9162|9498|9630|9699|10242|10345|11280|23316|27133|29119|66000|90134|149111|152404|219736|285242,ABAT|ASIC2|ATP1A4|CACNA1A|CACNA1E|FGF13|FGF14|GABRA3|GABRB1|GABRR2|GRID2|GRIN2A|KCNQ1|KCNQ3|RELN|SCN5A|SCN8A|SLC4A4|DGKI|SLC4A8|GNA14|RIMS2|KCNMB2|TRDN|SCN11A|CUX2|KCNH5|CTNNA3|TMEM108|KCNH7|CNIH3|IGSF11|STOX1|HTR3E,-7.1,1
Reactome Gene Sets,6,R-HSA-5576891,Cardiac conduction,-8.1,5.4,8.1,27994,139,677,18,2.7,0.62,480|486|1193|2258|2259|3784|4842|6261|6263|6331|6334|10345|10699|11280|30820|55799|80333|93589,ATP1A4|FXYD2|CLIC2|FGF13|FGF14|KCNQ1|NOS1|RYR1|RYR3|SCN5A|SCN8A|TRDN|CORIN|SCN11A|KCNIP1|CACNA2D3|KCNIP4|CACNA2D4,-6.8,1
GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,-8,2.6,6.7,27994,724,677,45,6.6,0.96,18|29|40|320|773|777|952|1129|1393|1740|1959|1960|2259|2556|2560|2570|2895|2903|3786|3798|5649|6376|8825|9162|9229|9498|9568|9699|10814|10858|22839|23025|23316|26059|55288|57282|57537|66000|79772|84896|85445|93664|149111|152404|285242,ABAT|ABR|ASIC2|APBA1|CACNA1A|CACNA1E|CD38|CHRM2|CRHBP|DLG2|EGR2|EGR3|FGF14|GABRA3|GABRB1|GABRR2|GRID2|GRIN2A|KCNQ3|KIF5A|RELN|CX3CL1|LIN7A|DGKI|DLGAP1|SLC4A8|GABBR2|RIMS2|CPLX2|CYP46A1|DLGAP4|UNC13A|CUX2|ERC2|RHOT1|SLC4A10|SORCS2|TMEM108|MCTP1|ATAD1|CNTNAP4|CADPS2|CNIH3|IGSF11|HTR3E,-6.7,1
