Description	Category	CategoryID	GO	LogP	Enrichment	Z.score	X.TotalGeneInLibrary	X.GeneInGO	X.GeneInHitList	X.GeneInGOAndHitList	X.InGO	STDV..InGO	GeneID	Hits	Log.q.value.	GeneList
cell fate specification	GO Biological Processes	19	GO:0001708	-6.2	5.1	6.9	27994	101	765	14	1.8	0.48	2138|3670|6423|6469|6910|6913|8022|8324|23040|30009|30012|57057|64321|145258	EYA1|ISL1|SFRP2|SHH|TBX5|TBX15|LHX3|FZD7|MYT1L|TBX21|TLX3|TBX20|SOX17|GSC	-5.1	19
cell fate specification	GO Biological Processes	19	GO:0001708	-13	7.4	11	27994	101	823	22	2.7	0.56	474|2128|2139|3170|3207|3236|3549|4821|4825|5076|5080|5454|5457|6662|6913|10215|10660|23040|54738|58524|120237|167826	ATOH1|EVX1|EYA2|FOXA2|HOXA11|HOXD10|IHH|NKX2-2|NKX6-1|PAX2|PAX6|POU3F2|POU4F1|SOX9|TBX15|OLIG2|LBX1|MYT1L|FEV|DMRT3|DBX1|OLIG3	-11	20
cell fate specification	GO Biological Processes	19	GO:0001708	-2.3	3.1	3.4	27994	101	722	8	1.1	0.39	429|2138|2139|2736|6928|7481|55553|170825	ASCL1|EYA1|EYA2|GLI2|HNF1B|WNT11|SOX6|GSX2	-2.1	16
cell fate determination	GO Biological Processes	19	GO:0001709	-12	12	13	27994	42	823	15	1.8	0.47	474|2290|2624|2625|4208|4821|5076|5080|5629|10660|11281|55079|57453|64641|343472	ATOH1|FOXG1|GATA2|GATA3|MEF2C|NKX2-2|PAX2|PAX6|PROX1|LBX1|POU6F2|FEZF2|DSCAML1|EBF2|BARHL2	-11	20
cell fate determination	GO Biological Processes	19	GO:0001709	-3.9	6.1	5.5	27994	42	765	7	0.92	0.34	3670|4208|4654|5396|7471|11281|64321	ISL1|MEF2C|MYOD1|PRRX1|WNT1|POU6F2|SOX17	-3.3	19
cell fate commitment	GO Biological Processes	19	GO:0045165	-2.8	2.3	3.5	27994	276	701	16	2.3	0.56	596|2139|3084|3110|4286|6095|6660|7481|7482|10297|25928|26038|63978|64641|80326|89870	BCL2|EYA2|NRG1|MNX1|MITF|RORA|SOX5|WNT11|WNT2B|APC2|SOSTDC1|CHD5|PRDM14|EBF2|WNT10A|TRIM15	-2.4	11
cell fate commitment	GO Biological Processes	19	GO:0045165	-3.2	2.5	3.9	27994	276	700	17	2.4	0.58	2138|2736|3084|3226|3398|4838|4920|5468|6095|6097|6422|6660|8320|23040|26038|64641|64843	EYA1|GLI2|NRG1|HOXC10|ID2|NODAL|ROR2|PPARG|RORA|RORC|SFRP1|SOX5|EOMES|MYT1L|CHD5|EBF2|ISL2	-2.7	14
cell fate commitment	GO Biological Processes	19	GO:0045165	-2.3	2.2	3.1	27994	276	642	14	2.2	0.58	2066|2138|2139|2260|3084|3516|3574|4286|4920|6095|6660|6693|6910|55553	ERBB4|EYA1|EYA2|FGFR1|NRG1|RBPJ|IL7|MITF|ROR2|RORA|SOX5|SPN|TBX5|SOX6	-2.1	2
cell fate commitment	GO Biological Processes	19	GO:0045165	-28	6.7	16	27994	276	823	54	6.6	0.86	474|1482|2128|2139|2255|2290|2624|2625|2626|3084|3170|3175|3207|3236|3549|3662|4090|4208|4656|4821|4825|5076|5080|5081|5454|5457|5629|6095|6660|6662|6913|7080|7101|7490|10215|10660|11281|23040|23493|25925|54738|55079|57453|58158|58524|64641|116448|120237|121643|140628|167826|219409|256297|343472	ATOH1|NKX2-5|EVX1|EYA2|FGF10|FOXG1|GATA2|GATA3|GATA4|NRG1|FOXA2|ONECUT1|HOXA11|HOXD10|IHH|IRF4|SMAD5|MEF2C|MYOG|NKX2-2|NKX6-1|PAX2|PAX6|PAX7|POU3F2|POU4F1|PROX1|RORA|SOX5|SOX9|TBX15|NKX2-1|NR2E1|WT1|OLIG2|LBX1|POU6F2|MYT1L|HEY2|ZNF521|FEV|FEZF2|DSCAML1|NEUROD4|DMRT3|EBF2|OLIG1|DBX1|FOXN4|GATA5|OLIG3|GSX1|PTF1A|BARHL2	-25	20
cell fate commitment	GO Biological Processes	19	GO:0045165	-8.5	3.7	7.6	27994	276	765	28	3.7	0.68	2138|2255|2636|3670|4208|4654|4760|4762|5396|5468|6423|6469|6660|6910|6913|7471|7480|7484|8022|8324|9480|11281|23040|30009|30012|57057|64321|145258	EYA1|FGF10|GBX1|ISL1|MEF2C|MYOD1|NEUROD1|NEUROG1|PRRX1|PPARG|SFRP2|SHH|SOX5|TBX5|TBX15|WNT1|WNT10B|WNT9B|LHX3|FZD7|ONECUT2|POU6F2|MYT1L|TBX21|TLX3|TBX20|SOX17|GSC	-7.2	19
