	RVIS	missense-Z	pLi	Phi	LofTool	s_het	Blomen KBM7	Wang KBM7	Wang K562	Wang Jiyoye	Wang Raji	Hart HCT116	Hart HeLa	Hart GBM	Hart RPE1	Hart DLD1	Dickinson_EG
ENSG00000172410	16.2219143399999	-0.577937591	1.52E-05	2.43E-10	0.423	0.002419849	-1	0.007	-0.139	-0.115	-0.176	-34.895	-30.617	-13.05	-24.58	-5.006	0
ENSG00000077312	89.12113728	1.881890119	0.060279449	0.001583827578267	0.515	0.015381773	-0.325454545	0.936	0.352	0.786	0.603	35.346	-13.511	-10.534	-3.785	19.483	
ENSG00000162702	83.09138004	2.488358455	0.95167159	0.999297279749395	0.810999999999999	0.127834884	-0.528301887	0.48	-0.244	0.044	0.303	-80.332	33.519	7.716	-19.319	-8.865	1
ENSG00000151498	75.71230649	-0.140066258	1.17E-05	7.07E-08	0.713	0.009103175	-0.543956044	0.578	1.117	0.593	0.656	-73.588	-69.049	-8.742	-53.976	-12.382	
ENSG00000167895	46.22010722	0.978493834	5.57E-12	6.59E-15	0.100999999999999	0.008628651	-0.516407599	0.335	0.606	0.303	0.419	-96.462	-39.976	-12.347	0.913	6.011	0
ENSG00000029534	98.777182097	2.571870078	1	0.999999999999953	0.891	0.396736848	-0.495327103	-0.092	0.256	-0.377	-0.569	-96.663	-65.457	-33.833	-42.096	-20.082	1
ENSG00000204020	53.67146557	-1.739075799	1.71E-07	3.74E-06	0.313999999999999	0.004527229	-0.546099291	-0.262	-0.305	-0.157	-0.242	-67.921	-31.718	-25.272	-20.094	-13.848	0
ENSG00000253953	44.71417384	2.942354723	0.002561316		0.484	0.005774192		0.209	0.667	0.437	0.664						
ENSG00000134278	95.891813746	1.319465433	0.330091752	0.01159569551021	0.331999999999999	0.052556846	-0.484156821	-0.025	-0.093	-0.39	-0.478	-149.521	-57.422	-36.064	-49.834	-20.617	
ENSG00000228567	25.25751461	0.51073549	0.261583303	1.29E-05	0.169	0.00119322		0.162	-0.003	0.253	0.183						
ENSG00000100060	51.11740257	0.23978793	1.32E-07	7.23E-10	0.284	0.016677304	-0.479334099	0.041	0.692	0.155	0.307	-122.073	-39.362	-19.58	-34.614	-15.944	0
ENSG00000142168	57.24956328	2.336835952	0.442188724	0.0521044290856	0.874	0.05394442	-0.055662188	1.787	1.714	1.328	0.929	76.557	41.104	34.191	34.306	28.036	0
ENSG00000136717	56.96042407	2.200772962	0.474193122	0.905903870397136	0.424	0.031577955	-0.485268631	0.279	-0.095	-0.202	0.02	-76.793	-75.958	-11.035	-37.985	-6.361	1
ENSG00000151748	78.70007831	0.56019259	0.777230367	0.108615608787127	0.293	0.095922497	-0.593638171	-0.327	-0.325	-0.026	-0.48	-107.353	-80.861	1.092	-41.733	-15.52	1
ENSG00000197406	76.0737305	3.661593537	0.768046571		0.9443	0.24069681		0.107	-0.101	-0.02	-0.266	-66.664	-57.419	-27.648	-37.068	-14.233	1
ENSG00000198324	25.58881995	1.25263129	0.005149827	0.032674545002322			-0.511363636	0.149	0.762	0.347	0.311	-79.44	-45.264	-20.501	-27.743	-13.336	
ENSG00000112414	11.69809048	-0.530785944	0.283489108	0.998908505321709	0.152	0.025821129	-0.517390055	-0.254	0.063	-0.248	-0.157	-120.28	-86.497	-17.216	-56.495	-23.123	1
ENSG00000185722	94.572616107	2.507077374	0.994632888	0.956654786054725	0.509	0.074255881	-0.514423077	0.872	-0.032	-0.002	0.363	-146.148	-74.408	-23.212	-25.61	-15.824	
ENSG00000124370	27.51641467	-0.274059047	0.00211926	0.094495268325589	0.321999999999999	0.001064808	-0.490765172	-0.398	-0.263	-0.382	-0.313	-56.957	-3.771	-14.999	-17.202	-11.761	
ENSG00000175376	45.12378772	-0.350663447	0.181571134	0.016154210291648	0.463999999999999	0.018565413	-0.295218295	2.307	2.936	2.033	1.747	106.537	80.086	9.54	19.889	14.979	
ENSG00000100815	8.41515570999999	-0.902076425	2.34E-09	2.44E-14	0.1	0.012308892	-0.48385795	-0.157	0.185	0.003	0.054	-12.154	-25.763	-6.979	-24.064	-11.568	1
ENSG00000137055	93.157038733	0.755584084	0.648657498	0.017631355016804	0.532	0.037605856	-0.541890853	0.69	0.018	-0.037	-0.378	-45.571	-23.823	-16.199	-33.291	-20.854	
ENSG00000121481	49.38256732	2.566130752	0.944004162	0.862870379605547	0.777	0.021034786	-0.481518482	-0.067	-0.432	-0.241	-0.19	-39.102	-18.783	-12.358	-16.934	-8.009	1
ENSG00000197837	67.53207638	0.576814685	0.260791363	0.011544508821578	0.644	0.009739812		0.399	0.218	0.133	0.103	-36.536	-9.299	-5.774	-0.72	0.242	
ENSG00000065154	60.80356605	0.386910179	7.22E-04	4.16E-06	0.9004	0.011742443	-0.528481013	-0.143	-0.031	-0.25	-0.105	-49.37	-36.738	-2.949	-14.053	-3.635	1
ENSG00000104154	76.1098729	0.785703393	0.950659467	0.987403792874399	0.9102	0.118246989	-0.512600536	-0.272	-0.482	-0.135	-0.079	-96.075	-24.132	-26.141	-46.829	-16.659	1
ENSG00000157593	75.21233661	-0.329815096	0.70003825	3.48E-06	0.302	0.068945958	-0.5	0.198	0.069	0.016	-0.153	-68.082	-4.718	-7.82	-22.741	-9.081	
ENSG00000043514	31.22101078	0.729748129	9.43E-10	5.97E-09	0.096	0.001912969	-0.370555834	1.021	0.022	0.427	0.025	-98.531	-11.133	-20.735	-39.424	-1.796	
ENSG00000213402	13.43894946	0.479563538	0.770195972	0.902841562678784		0.224289861	-0.483870968	-0.088	0.028	-0.174	-0.301	-56.289	7.468	-18.954	-22.861	-8.1	0
ENSG00000173080	26.3779290399999	0.318269983	0.005495818	2.92E-10	0.41	0.002617959	0	0.896	0.922	0.147	0.554	-50.374	15.171	-17.659	-29.475	-11.962	0
ENSG00000175166	88.59104873	3.449326728	0.999997116	0.999997236911608	0.9691	0.456552809	-0.252199413	2.262	2.313	2.159	1.921	76.79	19.354	5.404	30.491	7.662	
ENSG00000147883	58.98439853	0.961696801	0.281057557	0.005029038639666	0.617	0.053042269	-0.493197279	0.204	-0.882	-0.308	-0.217	-40.808	-33.576	-32.04	-52.078	-16.723	0
ENSG00000123349	59.41208361	0.027064153	0.043385561	0.011946399921531	0.359	0.018115862	-0.345388788	0.482	1.166	0.534	0.026	-31.112	-4.841	1.017	36.402	-6.063	
ENSG00000114841	0.30118668	-0.89487829	4.42E-20	6.00E-26	0.232999999999999		-0.471502591	0.081	-0.087	-0.346	-0.216	-14.098	-61.595	-33.705	-30.406	-12.513	0
ENSG00000159228	30.48009156	0.522526567	0.006462202	8.98E-05	0.628	0.0073554	-0.541033435	-0.068	0.016	-0.106	0.046	-94.416	-51.168	-25.855	-16.645	-18.085	
ENSG00000172830	47.40075899	0.057273875	1.32E-07	1.02E-05	0.408	0.006872242	-0.575342466	0.413	1.248	0.65	0.397	-109.371	-20.046	-25.305	-11.398	-21.772	0
ENSG00000138443	81.97698934	2.422322401	0.953329216	0.980545882440085	0.819	0.07634147	-0.474905559	-0.135	-0.397	0.078	-0.084	-76.662	-23.237	-20.046	-32.941	-13.956	0
ENSG00000125733	80.26624902	0.655153841	0.354472308	0.616579889454151	0.483	0.03774154	-0.533673469	0.141	0.237	0.084	0.256	-37.927	-17.128	-28.783	-19.234	-19.181	0
ENSG00000162521	71.14631649	4.713984017	0.989804589	0.987189864120058	0.588	0.132779369	-0.123196448	1.272	2.5	1.246	1.102	43.178	-8.304	-3.108	44.71	19.215	
ENSG00000204524	72.27275465	0.582717003	0.794368612			0.07211696	-0.442359249	-0.23	-0.15	0.131	-0.16	-55.896	-55.412	-20.48	-29.551	-13.211	
ENSG00000101977	43.49112426	0.607056911	0.943290929		0.3	0.053516214	-0.520383693	-0.395	-0.646	-0.311	-0.355	-62.142	-75.813	-23.238	-32.834	-19.761	0
ENSG00000187231	91.807722426	2.383189374	0.989112553	0.994727061319888	0.522	0.055490114	-0.521755162	-0.121	-0.283	-0.044	-0.332	-95.333	-67.847	-21.9	-35.636	-22.455	1
ENSG00000166211	21.90229504	0.092343823	0.118412348	0.115084946880497	0.597	0.022161784		-0.061	0.145	-0.139	-0.44						1
ENSG00000111328	41.84085296	1.914904688	0.742361028	0.194562468289145	0.82	0.207160326	-0.492424242	0.009	0.119	0.215	0.056	-67.816	-17.869	2.501	-19.254	-6.469	1
ENSG00000204653	38.85308114	0.367710774	0.001111334	9.28E-06	0.133		-0.495689655	-0.146	0.104	0.022	-0.095	-104.215	-57.985	-21.239	-22.46	0.138	
ENSG00000167130	62.38178423	2.187174092	0.604058624	0.321089698942029	0.833	0.113000042	-0.635678392	1.129	0.057	-0.048	0.105	-48.745	-6.244	12.476	-13.815	-23.846	
ENSG00000172732	47.25016565	0.452803033	1.58E-06	4.42E-07	0.116999999999999	0.007301759	-0.474178404	0.837	1.209	0.752	0.611	-46.893	1.003	71.951	-8.966	-9.424	1
ENSG00000186469	45.24426239	1.401693606	0.523770491	0.38677749056636	0.497	0.107886396	-0.487309645	-0.143	-0.015	-0.031	-0.213	-33.886	-34.085	-15.051	-14.293	-7.443	
ENSG00000113389	69.67652551	3.167328285	0.003099263	0.051294034977706	0.465999999999999	0.024326664	-0.554347826	-0.056	-0.104	-0.269	-0.337	-88.342	6.733	-28.765	-52.408	-15.501	1
ENSG00000107821	29.2090837899999	0.975061791	3.36E-04	1.39E-07	0.438999999999999	6.58E-04	-0.497398844	0.058	-0.217	-0.31	0.052	-66.532	-34.09	-16.005	8.733	-9.368	
ENSG00000181396	9.04764772999999	0.477208656	5.96E-04				-0.530172414	0.062	0.435	-0.2	0.024	-145.67	-61.34	-23.476	-40.834	-14.406	0
ENSG00000138735	22.3600987899999	1.235741859	0.003390906	6.99E-05	0.542999999999999	0.013415843	-0.489986649	-0.264	-0.342	0.167	-0.131	-93.899	-81.676	-21.426	-45.705	-18.556	
ENSG00000118520	64.76115897	-0.746295045	5.00E-04	7.02E-06	0.679	0.005863934	-0.5	-0.316	-0.073	-0.013	-0.187	-31.537	-49.727	-24.719	-16.405	-21.181	1
ENSG00000165821	83.16968857	-0.029556269	1.78E-05	3.88E-08	0.340999999999999	0.016955734	-0.512340764	0.02	1.121	0.234	0.285	-136.045	-50.202	-21.218	-56.382	-16.489	1
ENSG00000176485	26.95620746	0.349667965	1.19E-05	9.89E-05	0.324999999999999	0.004531956	-0.493849118	-0.125	0.209	0.041	-0.084	-105.727	-34.269	-33.73	-52.8	-22.132	
ENSG00000105991	66.92970303	1.163577419	0.084987363	5.23E-04	0.785	0.050613096	-0.346153846	0.098	-0.029	0.054	0.141	-139.082	-58.151	-19.213	-34.212	-13.099	1
ENSG00000119661	42.08782603	0.529231364	0.006401469	0.001736169273308	0.301	0.008903712	-0.501951431	-0.328	0.035	-0.079	-0.424	-49.68	-18.954	-14.278	-11.717	-16.322	
ENSG00000136111	76.50141558	1.802339495	3.64E-13	3.99E-11	0.228999999999999	0.004283236	-0.525842697	-0.054	-0.156	0.08	-0.169	-83.164	-49.508	-14.875	-14.186	-0.948	0
ENSG00000170832	94.488283838	4.370978713	0.999999997	0.999999999999303	0.699	0.161952371	-0.478028558	0.035	0.079	-0.075	0.359	-55.081	-74.125	6.622	3.975	-14.042	
ENSG00000186075	45.00933679	-0.126487793	9.87E-04	4.49E-07	0.047	0.017265345	-0.56043956	-0.02	-0.156	0.068	-0.124	-27.918	-9.972	1.592	2.205	-4.743	0
ENSG00000115488	20.19757846	-0.294123041	3.09E-12	8.10E-09	0.778	0.001960167	-0.666666667	-0.282	-0.363	-0.174	-0.343	-130.305	-65.363	-39.971	-53.808	-23.355	
ENSG00000221972	22.8660924	-0.452642465	0.003672537	2.66E-10	0.503	0.009349829		0.897	0.662	0.757	0.886	-58.271	-26.821	-0.783	-31.051	-11.077	
ENSG00000198515	68.63441961	-0.530383743	5.71E-10	2.52E-14	0.659999999999999	0.006145695	-0.444444444	0.159	-0.122	-0.235	-0.228	-49.021	-33.148	-18.327	-9.493	-9.053	
ENSG00000105854	61.74326848	-0.445590914	0.001404248	7.96E-07	0.177	0.014483114	-0.542069993	-0.394	-0.378	-0.433	-0.038	-45.59	-12.588	-0.971	-16.637	-9.771	0
ENSG00000164237	42.0456599	-1.224068014	0.007765304	0.010485068161248	0.264		-0.524056255	-0.23	-0.343	-0.177	-0.506	-79.728	-42.043	-24.207	-37.5	-21.81	
ENSG00000179922	21.2698030199999	1.819842336	0.352694144	7.62E-04			-0.402439024	0.037	0.301	0.247	0.205	-53.011	-52.179	7.501	-11.636	-10.163	
ENSG00000184908	7.16824287999999	0.673901766	7.81E-12	2.25E-12	0.88	0.003394337	-0.502358491	0.248	0.762	0.123	0.178	4.612	-13.755	-19.191	-22.876	-15.956	
ENSG00000088325	88.69947594	-0.447953979	0.992124193	0.989549989877407	0.9193	0.099393494	-0.045755968	1.715	3.256	1.959	1.381	120.289	41.423	97.493	51.45	24.848	1
ENSG00000138271	43.88892235	-1.213069802	0.290536849	5.34E-04	0.446999999999999	0.102064823		-0.088	-0.062	-0.146	0.166	-54.752	-19.737	-21.714	-27.172	-9.325	0
ENSG00000117174	36.85922535	0.014316234	5.36E-04	6.15E-07	0.045	0.011209882	-0.119363395	1.321	0.709	0.511	0.897	214.333	29.494	31.151	35.387	12.899	
ENSG00000214511	25.9020540899999	-0.544529834	2.42E-05	0.001255731007474	0.253	0.001287034	-0.490740741	-0.168	0.146	-0.032	0.012	-23.03	-7.728				
ENSG00000117399	88.41033673	2.175210429	1.82E-04	1.20E-06	0.196999999999999	0.011382022	-0.114285714	2.608	3.933	3.322	2.012	276.737	197.166	39.237	31.001	23.46	1
ENSG00000113657	86.392386	2.197030257	0.996483174	0.999431567338155		0.26101246	-0.500846024	-0.213	-0.053	0.109	-0.334	-124.453	-55.825	-33.588	-21.443	-9.969	
ENSG00000161996	6.54779833	-0.832700454	4.02E-46	1.61E-30	0.066		-0.538461538	-0.079	0.95	0.36	0.117	-87.612	-25.345	-23.796	-12.82	-15.117	
ENSG00000177989	14.70995723	2.043074986	0.009167458	3.63E-04				-0.018	0.027	-0.254	0.154	-34.609	6.336	-15.449	-30.817	5.009	
ENSG00000145244	61.03246792	-1.568224222	6.35E-20	1.82E-28	0.798999999999999	0.004209761	-0.50813155	-0.182	-0.603	-0.206	0.184	-98.473	-81.873	-26.704	-22.93	8.38	0
ENSG00000146385	24.28166978	-1.202088189	3.03E-04	7.93E-07	0.282	0.006438021		-0.212	-0.369	-0.03	-0.046	-28.419	-11.269				
ENSG00000107018	22.08903078	-0.519142157	5.29E-04	1.68E-07	0.458999999999999	0.005548609	-0.5	-0.286	-0.661	-0.343	-0.609	-14.578	-9.113	-5.967	-8.989	-3.973	0
ENSG00000178342	65.28522378	3.710403352	0.00583162	0.004285296453321			-0.416666667	-0.451	-0.504	-0.33	-0.138	-66.007	-56.693	-34.764	-42.248	-13.177	
ENSG00000204963	88.18143485	2.71040395	1.37E-04		0.139	0.003183091		-0.108	-0.107	-0.047	-0.056						
ENSG00000231192	4.48165772999999	0.419856779	0.067414777	2.56E-06	0.151	0.060034778											
ENSG00000091947	74.30275285	1.289012094	0.161635624	2.42E-04		0.015064569		-0.057	0.259	0.146	0.142	-61.733	-28.388	-31.347	-29.759	-10.727	
ENSG00000138867	81.7541112	0.360869905	0.016687865			0.02634534	-0.539305302	0.154	1.34	0.265	0.263	-67.96	-0.063	-28.51	-16.083	-9.381	
